customer_id,customer_segment,region,signup_date,plan_type,monthly_revenue,tenure_months,is_churned,churn_date,churn_reason
CUST_000001,Premium_EV,Europe & MENA,2023-10-09,Cubic³ Connectivity 50GB,62.9,15,False,,
CUST_000002,Premium_EV,India & Middle East,2024-03-08,Cubic³ Connectivity 15GB,38.72,10,False,,
CUST_000003,Premium_EV,India & Middle East,2023-07-23,Explore³ Analytics,116.24,18,False,,
CUST_000004,Mass_Market,Asia-Pacific,2024-08-26,StreamLocal³ Premium,71.09,4,True,2025-05-06,Support experience
CUST_000005,Fleet/Leasing,Latin America,2023-06-09,Cubic³ Connectivity 50GB,81.88,19,False,,
CUST_000006,Premium_EV,Asia-Pacific,2023-04-10,StreamLocal³ Premium,140.94,21,False,,
CUST_000007,Premium_EV,Oceania,2024-04-15,FleetWallet³ Pay,50.6,9,False,,
CUST_000008,Premium_EV,India & Middle East,2023-10-28,Explore³ Analytics,112.31,14,False,,
CUST_000009,Mass_Market,Oceania,2023-03-13,Cubic³ Connectivity 15GB,60.27,22,False,,
CUST_000010,Premium_EV,North America,2023-04-14,DriverConnect³ Plus,69.75,21,False,,
CUST_000011,Fleet/Leasing,North America,2024-01-15,StreamLocal³ Premium,27.29,12,False,,
CUST_000012,Premium_EV,India & Middle East,2024-10-12,Cubic³ Connectivity 50GB,101.77,3,False,,
CUST_000013,Partner_Program,Asia-Pacific,2023-10-04,Explore³ Analytics,62.24,15,False,,
CUST_000014,Fleet/Leasing,Europe & MENA,2023-08-23,Cubic³ Connectivity 15GB,70.77,17,False,,
CUST_000015,Premium_EV,North America,2024-08-03,Explore³ Analytics,74.33,5,False,,
CUST_000016,Partner_Program,Oceania,2024-04-14,Cubic³ Connectivity 50GB,31.34,9,False,,
CUST_000017,Fleet/Leasing,Oceania,2024-08-21,DriverConnect³ Plus,77.54,4,False,,
CUST_000018,Mass_Market,North America,2024-06-05,DriverConnect³ Plus,18.64,7,True,2024-12-24,Switched OEM plan
CUST_000019,Mass_Market,Oceania,2024-03-08,FleetWallet³ Pay,16.64,10,False,,
CUST_000020,Partner_Program,India & Middle East,2023-09-15,FleetWallet³ Pay,74.84,16,True,2024-04-09,Partner change
CUST_000021,Fleet/Leasing,Oceania,2023-12-15,Cubic³ Connectivity 15GB,33.43,13,False,,
CUST_000022,Premium_EV,Oceania,2025-01-06,StreamLocal³ Premium,156.49,0,False,,
