feedback_date,region,feedback_type,total_feedback_count,complaint_count,compliment_count,inquiry_count,avg_sentiment_score,negative_sentiment_count,neutral_sentiment_count,positive_sentiment_count,network_issue_count,billing_issue_count,service_issue_count,other_issue_count
2024-11-01,Europe & MENA,Call,150,29,22,99,-0.07,38,82,30,23,2,4,0
2024-11-01,Europe & MENA,Email,449,191,55,203,-0.11,125,171,153,98,9,29,55
2024-11-01,Europe & MENA,Social,425,7,38,380,0.32,184,156,85,0,7,4,0
2024-11-01,Europe & MENA,Chat,326,69,95,162,-0.21,70,184,72,35,3,12,19
2024-11-01,North America,Call,442,164,79,199,-0.23,159,183,100,129,33,1,1
2024-11-01,North America,Email,309,65,100,144,-0.19,104,133,72,64,1,5,0
2024-11-01,North America,Social,357,71,107,179,0.17,151,131,75,48,23,59,0
2024-11-01,North America,Chat,438,206,13,219,0.12,92,229,117,155,2,48,1
2024-11-01,Latin America,Call,68,13,6,49,0.35,19,25,24,2,5,3,3
2024-11-01,Latin America,Email,180,38,57,85,0.22,76,59,45,6,11,16,5
2024-11-01,Latin America,Social,255,45,7,203,0.31,95,103,57,27,3,6,9
2024-11-01,Latin America,Chat,447,42,133,272,0.22,93,233,121,27,8,1,6
2024-11-01,Asia-Pacific,Call,468,117,121,230,-0.34,114,219,135,106,6,4,1
2024-11-01,Asia-Pacific,Email,284,106,89,89,0.39,102,95,87,74,16,3,13
2024-11-01,Asia-Pacific,Social,496,220,77,199,0.21,126,201,169,134,32,7,47
2024-11-01,Asia-Pacific,Chat,407,155,25,227,-0.23,174,90,143,27,91,8,29
2024-11-01,India & Middle East,Call,449,156,109,184,-0.02,98,230,121,131,2,23,0
2024-11-01,India & Middle East,Email,202,43,3,156,0.4,45,110,47,10,19,11,3
2024-11-01,India & Middle East,Social,304,151,42,111,0.07,60,149,95,82,67,1,1
2024-11-01,India & Middle East,Chat,420,170,122,128,0.27,118,161,141,127,39,4,0
2024-11-01,Oceania,Call,229,16,4,209,0.12,95,51,83,3,5,5,3
2024-11-01,Oceania,Email,285,19,83,183,0.2,120,62,103,16,2,1,0
2024-11-01,Oceania,Social,191,16,62,113,-0.17,78,68,45,2,11,2,1
2024-11-01,Oceania,Chat,211,46,5,160,-0.24,77,63,71,15,30,1,0
2024-11-02,Europe & MENA,Call,316,61,31,224,-0.18,119,106,91,17,35,7,2
2024-11-02,Europe & MENA,Email,517,115,158,244,0.37,132,269,116,55,19,39,2
2024-11-02,Europe & MENA,Social,301,121,50,130,0.05,121,108,72,56,52,9,4
2024-11-02,Europe & MENA,Chat,319,11,81,227,0.38,117,133,69,2,5,4,0
2024-11-02,North America,Call,220,91,57,72,0.37,73,85,62,69,6,1,15
2024-11-02,North America,Email,311,24,28,259,0.39,109,90,112,20,2,1,1
2024-11-02,North America,Social,414,102,113,199,-0.35,88,198,128,80,15,1,6
2024-11-02,North America,Chat,81,20,19,42,-0.24,29,22,30,1,10,6,3
2024-11-02,Latin America,Call,279,91,14,174,0.1,106,87,86,71,14,2,4
2024-11-02,Latin America,Email,124,59,1,64,0.14,54,32,38,52,2,3,2
2024-11-02,Latin America,Social,407,149,1,257,0.42,116,169,122,89,36,13,11
2024-11-02,Latin America,Chat,338,110,43,185,-0.33,77,189,72,97,11,0,2
2024-11-02,Asia-Pacific,Call,213,91,60,62,0.26,59,92,62,45,36,6,4
2024-11-02,Asia-Pacific,Email,364,17,118,229,-0.0,95,165,104,1,10,0,6
2024-11-02,Asia-Pacific,Social,261,56,73,132,0.35,90,71,100,21,17,8,10
2024-11-02,Asia-Pacific,Chat,329,66,47,216,0.29,78,170,81,64,0,2,0
2024-11-02,India & Middle East,Call,506,207,54,245,0.09,186,204,116,60,55,68,24
2024-11-02,India & Middle East,Email,227,83,43,101,0.19,76,72,79,53,1,9,20
2024-11-02,India & Middle East,Social,85,11,0,74,-0.02,25,34,26,0,5,1,5
