tower_id,tower_name,region,network_type,capacity_date,total_bandwidth_gbps,used_bandwidth_gbps,available_bandwidth_gbps,utilization_pct,equipment_status,last_maintenance_date,next_scheduled_maintenance,expected_growth_pct,upgrade_recommended,estimated_capacity_exhaustion_date
TWR_0001,Cubic3 Node 1,Oceania,Edge Node,2025-01-15,138.0,85.8,52.2,62.2,Active,2024-09-05,2025-04-03,11.5,False,2026-12-27
TWR_0002,Cubic3 Node 2,India & Middle East,Edge Node,2025-01-15,97.1,41.9,55.2,43.2,Degraded,2024-08-24,2025-03-15,23.2,True,2026-10-31
TWR_0003,Cubic3 Node 3,Europe & MENA,4G,2025-01-15,142.7,104.3,38.4,73.1,Active,2024-08-25,2025-03-26,8.2,False,2025-09-25
TWR_0004,Cubic3 Node 4,Europe & MENA,4G,2025-01-15,190.9,88.7,102.2,46.5,Active,2024-10-08,2025-06-15,25.3,True,2026-02-01
TWR_0005,Cubic3 Node 5,Europe & MENA,4G,2025-01-15,208.4,142.7,65.7,68.5,Active,2024-09-07,2025-04-19,23.0,True,2026-03-23
TWR_0006,Cubic3 Node 6,Latin America,4G,2025-01-15,166.1,138.5,27.6,83.4,Degraded,2024-08-11,2025-05-03,19.2,True,2026-12-20
TWR_0007,Cubic3 Node 7,India & Middle East,Edge Node,2025-01-15,85.3,67.4,17.9,79.0,Degraded,2024-10-08,2025-05-02,11.7,True,2026-06-22
TWR_0008,Cubic3 Node 8,India & Middle East,5G,2025-01-15,121.4,65.0,56.4,53.5,Degraded,2024-09-03,2025-04-14,19.1,False,2025-09-16
TWR_0009,Cubic3 Node 9,Asia-Pacific,Edge Node,2025-01-15,96.8,55.8,41.0,57.6,Degraded,2024-12-16,2025-03-07,12.4,False,2026-11-21
TWR_0010,Cubic3 Node 10,Asia-Pacific,5G,2025-01-15,92.3,81.1,11.2,87.9,Active,2024-11-18,2025-04-10,23.0,True,2026-05-10
TWR_0011,Cubic3 Node 11,Asia-Pacific,Edge Node,2025-01-15,181.1,116.8,64.3,64.5,Active,2024-10-01,2025-04-18,15.5,False,2025-10-16
TWR_0012,Cubic3 Node 12,Europe & MENA,5G,2025-01-15,109.3,52.7,56.6,48.2,Active,2024-07-29,2025-08-05,24.2,True,2026-08-04
TWR_0013,Cubic3 Node 13,Europe & MENA,4G,2025-01-15,112.3,72.1,40.2,64.2,Degraded,2024-10-01,2025-06-14,20.0,False,2026-08-30
TWR_0014,Cubic3 Node 14,Asia-Pacific,4G,2025-01-15,144.2,104.4,39.8,72.4,Active,2024-12-13,2025-04-11,24.8,True,2026-02-10
TWR_0015,Cubic3 Node 15,Oceania,5G,2025-01-15,212.5,176.7,35.8,83.2,Degraded,2024-11-05,2025-05-05,21.4,True,2026-06-02
TWR_0016,Cubic3 Node 16,India & Middle East,5G,2025-01-15,113.3,78.2,35.1,69.0,Degraded,2024-08-26,2025-08-08,17.3,False,2026-02-18
TWR_0017,Cubic3 Node 17,Europe & MENA,5G,2025-01-15,86.3,40.9,45.4,47.4,Active,2024-08-15,2025-03-04,11.7,False,2026-04-25
TWR_0018,Cubic3 Node 18,Europe & MENA,Edge Node,2025-01-15,105.2,51.3,53.9,48.8,Active,2024-08-17,2025-08-03,18.0,False,2025-11-07
TWR_0019,Cubic3 Node 19,Asia-Pacific,Edge Node,2025-01-15,89.0,72.6,16.4,81.6,Active,2024-10-20,2025-08-05,13.5,True,2026-01-25
TWR_0020,Cubic3 Node 20,Asia-Pacific,5G,2025-01-15,110.4,87.8,22.6,79.5,Active,2024-11-28,2025-07-22,26.0,True,2026-04-15
TWR_0021,Cubic3 Node 21,India & Middle East,5G,2025-01-15,162.9,133.4,29.5,81.9,Active,2024-08-30,2025-06-19,22.0,True,2025-09-15
TWR_0022,Cubic3 Node 22,Latin America,Edge Node,2025-01-15,119.2,58.8,60.4,49.3,Degraded,2024-11-22,2025-07-16,11.1,False,2026-08-18
TWR_0023,Cubic3 Node 23,Oceania,5G,2025-01-15,103.5,53.8,49.7,52.0,Active,2024-09-26,2025-03-07,17.9,False,2025-11-24
TWR_0024,Cubic3 Node 24,Oceania,Edge Node,2025-01-15,146.3,71.1,75.2,48.6,Degraded,2024-11-28,2025-07-01,11.9,False,2026-08-10
TWR_0025,Cubic3 Node 25,Latin America,4G,2025-01-15,200.8,119.9,80.9,59.7,Active,2024-08-31,2025-07-21,16.0,False,2026-12-15
TWR_0026,Cubic3 Node 26,Latin America,4G,2025-01-15,100.7,80.7,20.0,80.1,Active,2024-08-17,2025-05-19,11.3,True,2026-05-01
TWR_0027,Cubic3 Node 27,Europe & MENA,5G,2025-01-15,102.6,83.2,19.4,81.1,Degraded,2024-09-22,2025-07-03,24.3,True,2025-11-01
TWR_0028,Cubic3 Node 28,Asia-Pacific,5G,2025-01-15,129.8,64.2,65.6,49.5,Active,2024-10-28,2025-04-07,19.1,False,2026-09-26
TWR_0029,Cubic3 Node 29,North America,4G,2025-01-15,173.7,139.2,34.5,80.1,Active,2024-10-29,2025-03-06,19.0,True,2026-12-17
TWR_0030,Cubic3 Node 30,Europe & MENA,5G,2025-01-15,98.4,57.5,40.9,58.4,Active,2024-09-16,2025-06-24,21.4,True,2026-09-13
TWR_0031,Cubic3 Node 31,Oceania,5G,2025-01-15,145.9,126.8,19.1,86.9,Degraded,2024-12-02,2025-04-23,8.7,True,2025-11-15
TWR_0032,Cubic3 Node 32,Europe & MENA,Edge Node,2025-01-15,99.9,46.6,53.3,46.6,Active,2024-08-23,2025-07-07,22.5,True,2026-01-28
TWR_0033,Cubic3 Node 33,India & Middle East,4G,2025-01-15,131.2,115.0,16.2,87.7,Degraded,2024-10-17,2025-05-06,10.5,True,2026-04-11
TWR_0034,Cubic3 Node 34,Asia-Pacific,Edge Node,2025-01-15,120.5,66.5,54.0,55.2,Active,2024-10-12,2025-04-04,24.4,True,2026-04-28
TWR_0035,Cubic3 Node 35,India & Middle East,5G,2025-01-15,178.1,120.1,58.0,67.4,Active,2024-09-20,2025-08-13,19.5,False,2026-01-09
TWR_0036,Cubic3 Node 36,Europe & MENA,5G,2025-01-15,206.9,88.4,118.5,42.7,Active,2024-08-09,2025-03-19,14.9,False,2026-05-25
TWR_0037,Cubic3 Node 37,Oceania,4G,2025-01-15,145.1,124.4,20.7,85.7,Active,2024-12-10,2025-06-04,13.6,True,2026-05-01
TWR_0038,Cubic3 Node 38,Latin America,5G,2025-01-15,140.8,84.4,56.4,59.9,Active,2024-08-08,2025-07-18,25.0,True,2025-10-15
