region,partner,oem_program,metric_date,avg_latency_ms,p95_latency_ms,packet_loss_pct,attach_success_rate,sessions
India & Middle East,AT&T,Fleet-Leasing,2025-02-11,57.5,130.9,0.9,0.96,4241
Europe & MENA,SK Telecom,Moto-2W,2025-01-18,66.8,116.3,0.83,0.976,4110
Latin America,SK Telecom,Compact-Connected,2025-02-05,106.5,137.1,0.3,0.955,1430
Asia-Pacific,Airtel,Moto-2W,2025-01-07,97.9,143.3,0.8,0.949,4548
Asia-Pacific,Telstra,Commercial-Van,2025-01-08,72.1,127.2,0.32,0.97,2735
Oceania,Telefonica,SUV-Connected,2025-02-16,74.2,99.8,0.77,0.932,4787
Oceania,Vodafone,Fleet-Leasing,2025-01-13,96.4,163.9,0.28,0.933,1235
North America,Orange,EV-Urban,2025-02-17,103.2,172.9,0.45,0.973,1263
Oceania,Singtel,Luxury-Flagship,2025-01-21,53.7,111.0,0.74,0.985,2046
India & Middle East,Orange,SUV-Connected,2025-02-19,111.5,146.0,0.32,0.973,1762
Asia-Pacific,Etisalat,EV-Premium,2025-01-17,90.8,117.2,0.47,0.966,4279
Oceania,Airtel,Moto-2W,2025-02-03,85.4,150.7,0.4,0.948,3203
North America,TIM,Fleet-Leasing,2025-01-18,106.1,134.4,0.2,0.969,1385
Latin America,Airtel,Fleet-Leasing,2025-02-10,80.9,129.9,0.58,0.987,512
Oceania,AT&T,Commercial-Van,2025-01-31,58.4,126.5,0.71,0.973,4786
Asia-Pacific,Orange,Luxury-Flagship,2025-02-11,129.8,168.0,0.75,0.949,2766
North America,Rogers,Commercial-Van,2025-01-23,130.1,203.2,0.09,0.941,666
North America,Telstra,Moto-2W,2025-02-14,80.0,152.1,0.48,0.989,2983
Europe & MENA,AT&T,Commercial-Van,2025-01-18,91.6,139.7,0.16,0.953,2760
Latin America,Vodafone,Fleet-Leasing,2025-02-09,117.7,167.9,0.1,0.948,3172
Latin America,Telefonica,Commercial-Van,2025-01-06,102.0,136.2,0.81,0.931,4033
India & Middle East,Airtel,SUV-Connected,2025-01-02,67.4,120.9,0.06,0.972,612
Oceania,AT&T,Commercial-Van,2025-02-13,93.3,141.5,0.46,0.979,1638
Latin America,SK Telecom,Moto-2W,2025-02-10,101.8,137.9,0.57,0.939,1892
North America,Telstra,EV-Urban,2025-01-08,80.9,107.0,0.73,0.95,4895
North America,Airtel,SUV-Connected,2025-02-22,109.5,142.7,0.19,0.939,2998
North America,Deutsche Telekom,EV-Urban,2025-01-17,125.9,199.4,0.77,0.962,4801
Oceania,TIM,EV-Urban,2025-03-01,67.9,122.8,0.6,0.947,1866
North America,Telefonica,Compact-Connected,2025-02-12,56.4,109.0,0.67,0.956,3737
India & Middle East,Rogers,Commercial-Van,2025-01-08,52.3,105.3,0.13,0.962,2112
Europe & MENA,Telefonica,Compact-Connected,2025-01-10,85.1,151.5,0.32,0.989,1962
Latin America,NTT Docomo,Moto-2W,2025-01-06,119.3,158.5,0.16,0.96,920
Latin America,Telstra,Commercial-Van,2025-02-25,117.2,184.7,0.19,0.941,3311
Oceania,Singtel,Compact-Connected,2025-02-09,47.9,99.9,0.49,0.98,927
North America,Airtel,Commercial-Van,2025-02-03,120.6,192.2,0.17,0.933,927
Oceania,Orange,Compact-Connected,2025-01-26,45.2,122.5,0.46,0.989,3627
Latin America,Telstra,Moto-2W,2025-01-31,97.3,146.6,0.46,0.936,3098
North America,Telefonica,Compact-Connected,2025-01-30,74.9,112.1,0.23,0.977,805
North America,Telstra,Fleet-Leasing,2025-01-12,115.3,143.4,0.42,0.975,4256
Europe & MENA,Rogers,SUV-Connected,2025-01-25,86.7,152.3,0.5,0.94,859
India & Middle East,TIM,Luxury-Flagship,2025-01-30,58.9,113.7,0.8,0.979,3393
North America,Deutsche Telekom,SUV-Connected,2025-01-11,112.9,155.9,0.15,0.958,2510
Asia-Pacific,AT&T,EV-Premium,2025-02-27,52.1,123.9,0.64,0.988,1021
Asia-Pacific,NTT Docomo,Moto-2W,2025-01-08,75.0,121.5,0.44,0.948,2529
Europe & MENA,Orange,Luxury-Flagship,2025-01-24,85.8,127.5,0.3,0.973,4662
Europe & MENA,Airtel,Commercial-Van,2025-02-06,130.4,194.0,0.46,0.96,4720
North America,Orange,SUV-Connected,2025-01-04,132.9,212.0,0.54,0.938,515
Europe & MENA,Telstra,Compact-Connected,2025-02-28,65.2,96.8,0.5,0.98,1486
